Geoname ID,Coordinates
1057330,"-17.45, 49.0"
1299371,"27.35264, 97.40038"
12558105,"18.58336, -74.11833"
242179,"19.05263, 20.48887"
13580119,"50.4725, 30.63113"
546055,"59.92969, 30.64465"
59140,"9.48828, 46.8674"
1059098,"-19.03333, 47.78333"
11239661,"50.46335, -3.55691"
2305164,"5.8938, -1.01636"
1637372,"-8.5, 116.66667"
3349997,"-15.18315, 13.69909"
1188852,"23.24784, 88.78382"
13545871,"49.08078, 33.45547"
13580128,"50.48648, 30.46975"
1062818,"-17.08333, 45.33333"
1091669,"-11.38972, 43.28806"
12450785,"59.91427, 10.78746"
2565267,"29.82, -5.72"
2124440,"56.32035, 160.84541"
1107099,"34.66879, 71.3888"
3348794,"-11.05, 14.71667"
542287,"55.85381, 37.49604"
7302172,"-8.70415, 115.17028"
1270448,"15.3352, 76.4603"
2798615,"51.46791, 4.46901"
11919781,"52.57353, 1.69979"
1213443,"2.6521, 98.8608"
1214135,"2.663, 98.9349"
6999619,"36.63011, 43.30378"
1222387,"6.35423, 99.73404"
247336,"32.32341, 36.09087"
2611862,"55.6303, 12.60035"
8051286,"-8.14927, 115.03999"
1278464,"15.68681, 73.70449"
2513285,"29.03818, -13.56386"
2905604,"47.99888, 11.17679"
2751793,"52.1279, 6.23217"
11778104,"52.51879, -1.79683"
1638059,"-8.7264, 116.0744"
352736,"25.06305, 34.89005"
876019,"-15.79347, 20.36374"
1172866,"30.7737, 70.93125"
2783204,"51.26825, 4.71296"
12522778,"49.07551, 33.39964"
1080809,"-14.33333, 49.98333"
2261760,"38.92365, -9.23178"
11776817,"15.467, 44.17787"
1593890,"10.55329, 105.25808"
11790693,"15.90223, 108.33884"
3362024,"-33.95556, 18.47417"
1273383,"19.93611, 75.22148"
8593721,"28.69876, 77.27371"
2635150,"51.55594, 0.2556"
980213,"-25.44152, 27.28165"
734517,"40.37704, 23.44135"
618400,"46.75818, 28.20716"
7180617,"17.09545, 82.16565"
2648484,"52.6466, -1.19493"
13580100,"50.41063, 30.54519"
13580325,"50.46936, 30.36216"
13118370,"3.15724, 101.60822"
302903,"37.91644, 29.11729"
3573882,"10.27184, -61.37103"
12626142,"45.48867, -73.56812"
280602,"33.96528, 35.68278"
8478264,"32.17409, 34.8028"
1174089,"34.7361, 71.52739"
8379268,"51.92336, 4.55315"
6355177,"37.64129, -0.71651"
12196125,"34.98431, 33.73379"
614410,"42.47797, 44.47616"
8739860,"-26.90967, -49.36547"
1222391,"6.42062, 99.82199"
6888788,"36.43387, 127.37587"
1060527,"-19.01667, 47.83333"
2755281,"52.04167, 6.61111"
8199102,"27.62881, 85.45934"
2634842,"51.68602, -0.03575"
6690590,"51.54067, -0.11675"
1732681,"1.9577, 102.6401"
1264217,"17.2698, 73.50031"
5970063,"51.91922, -123.04458"
2750263,"51.96833, 4.60972"
2512465,"28.86426, -13.82814"
1281119,"28.92026, 89.59956"
3349649,"-13.81419, 15.79041"
8714611,"5.89477, 118.04576"
7601828,"56.06681, 38.50013"
